name,first_name,last_name,price,above_100
William Garcia,William,Garcia,258.1809089,true
Barbara Freeman,Barbara,Freeman,141.890534,true
Rebecca Zimmerman,Rebecca,Zimmerman,293.373272,true
Patricia Velasquez,Patricia,Velasquez,249.9479246,true
Ronnie Clark,Ronnie,Clark,272.908659,true
Timothy Rose,Timothy,Rose,65.74326968,false
Joshua Ramirez,Joshua,Ramirez,64.54997394,false
Joseph Dawson,Joseph,Dawson,111.0171384,true
Robert Rios,Robert,Rios,87.31797988,false
Karen Mitchell,Karen,Mitchell,277.2511543,true
Patrick Greene,Patrick,Greene,7.259436115,false
Matthew Nelson,Matthew,Nelson,295.3146887,true
Melissa Smith,Melissa,Smith,70.04282129,false
Amy Johnson,Amy,Johnson,78.26892103,false
Edgar Ellis,Edgar,Ellis,208.6777041,true
Olivia Rivera,Olivia,Rivera,104.8094951,true
Kelly Leblanc MD,Kelly,Leblanc,40.20849552,false
Jennifer Anderson,Jennifer,Anderson,17.90633335,false
Tammy Clark,Tammy,Clark,125.0672217,true
Jennifer Marquez,Jennifer,Marquez,21.63604687,false
Cory Silva,Cory,Silva,36.24541189,false
Mackenzie Moon,Mackenzie,Moon,264.9268902,true
Larry Wade,Larry,Wade,126.3049676,true
Diana Shaffer,Diana,Shaffer,37.50406255,false
Stephen Smith,Stephen,Smith,168.1895294,true
Kendra White,Kendra,White,265.1085587,true
Lindsey Williamson,Lindsey,Williamson,280.3953974,true
Wanda Hale,Wanda,Hale,106.0997985,true
Jillian Davies DDS,Jillian,Davies,10.64366962,false
Douglas Thomas,Douglas,Thomas,119.0382607,true
Jennifer Davis,Jennifer,Davis,153.0526538,true
George Holmes,George,Holmes,44.38614111,false
Marissa Webster,Marissa,Webster,105.4378241,true
Anna Boyle,Anna,Boyle,80.47552199,false
Paul Gillespie,Paul,Gillespie,174.6815735,true
Autumn Johnston,Autumn,Johnston,132.780344,true
Tracey Norton DDS,Tracey,Norton,118.0225331,true
Amy Flynn,Amy,Flynn,128.6739798,true
Melissa Davis,Melissa,Davis,72.58977535,false
Vincent Mitchell,Vincent,Mitchell,78.43990466,false
Gregory Martin,Gregory,Martin,144.6915752,true
Robert Coffey Jr.,Robert,Coffey,117.3205633,true
Melissa Montgomery,Melissa,Montgomery,101.4845534,true
Krystal Cunningham,Krystal,Cunningham,296.536062,true
Scott Lee,Scott,Lee,163.4878508,true
James Murray,James,Murray,28.59025756,false
Hunter Stokes,Hunter,Stokes,3.582742282,false
Jasmine Austin,Jasmine,Austin,33.90382995,false
Grant Summers,Grant,Summers,51.78034157,false
Sarah Spencer DDS,Sarah,Spencer,271.6023676,true
Brianna Lewis,Brianna,Lewis,192.617676,true
Mrs. Rhonda Martin DVM,Rhonda,Martin,145.6455553,true
Dennis Lawrence Jr.,Dennis,Lawrence,161.3584294,true
Michael Stewart,Michael,Stewart,245.4400987,true
William Wilkins,William,Wilkins,22.90555849,false
Rebecca Jimenez,Rebecca,Jimenez,142.590737,true
Kathleen Roman,Kathleen,Roman,15.10135967,false
Billy Smith,Billy,Smith,22.53181535,false
Nicole James,Nicole,James,101.913846,true
Allison Holt,Allison,Holt,12.7990102,false
Amanda Johnson,Amanda,Johnson,19.17461281,false
Michael Spencer,Michael,Spencer,171.890946,true
Brandi King,Brandi,King,30.05366744,false
Alexander King,Alexander,King,23.47063099,false
Nicole Sampson,Nicole,Sampson,207.6385148,true
Savannah Bell,Savannah,Bell,22.05563858,false
Jessica Harris MD,Jessica,Harris,103.7031099,true
Lauren Gallagher,Lauren,Gallagher,266.215602,true
Jack Townsend,Jack,Townsend,93.27791862,false
Jamie Nguyen,Jamie,Nguyen,228.9953328,true
Ann Price,Ann,Price,266.323001,true
Michael Rodriguez,Michael,Rodriguez,224.0452951,true
Heather Davidson,Heather,Davidson,219.8337855,true
Marie Green,Marie,Green,146.6406753,true
Lori Tapia,Lori,Tapia,147.3422789,true
Kayla Alvarado,Kayla,Alvarado,127.2410425,true
Susan Crosby,Susan,Crosby,200.3652912,true
Nathan Harris,Nathan,Harris,163.8731027,true
Michael Daniel,Michael,Daniel,4.582288435,false
Ashley Jones,Ashley,Jones,53.14943439,false
John Wright,John,Wright,91.35592502,false
Melissa Jordan,Melissa,Jordan,294.2154133,true
Carrie Jackson,Carrie,Jackson,232.6768105,true
Rebecca Anderson,Rebecca,Anderson,183.1702424,true
Paul Powell,Paul,Powell,105.1162169,true
Shawn Baxter,Shawn,Baxter,81.03527984,false
Sarah Wright,Sarah,Wright,141.0101793,true
Kimberly Romero,Kimberly,Romero,235.624084,true
Matthew Washington,Matthew,Washington,186.5044837,true
Kirk Hayden,Kirk,Hayden,148.2501795,true
Traci Kelley,Traci,Kelley,41.56298339,false
Isabella Chen,Isabella,Chen,129.6921072,true
Melanie Salazar,Melanie,Salazar,292.8461055,true
Stephanie Lewis,Stephanie,Lewis,76.43122945,false
Christopher Hensley,Christopher,Hensley,249.1556558,true
Terry Vincent,Terry,Vincent,242.9859001,true
Jason Alvarado,Jason,Alvarado,95.92027624,false
Michelle Evans,Michelle,Evans,257.2373034,true
Dennis Benitez,Dennis,Benitez,87.11980487,false
Troy Garcia,Troy,Garcia,181.4054634,true
Albert Davila,Albert,Davila,113.2109822,true
Candice Rivera,Candice,Rivera,42.88132073,false
Cole Edwards,Cole,Edwards,244.0779245,true
Danielle Johnson,Danielle,Johnson,31.63041433,false
Justin Ramirez,Justin,Ramirez,146.3464935,true
Elizabeth Griffith,Elizabeth,Griffith,205.7783782,true
Kristin Clay,Kristin,Clay,260.3474682,true
Joseph White,Joseph,White,65.20753493,false
Marissa Holmes,Marissa,Holmes,59.40240228,false
Michelle Hamilton,Michelle,Hamilton,91.62237167,false
Christopher Alvarez,Christopher,Alvarez,126.025264,true
Craig Hogan,Craig,Hogan,136.7126938,true
Melissa Castillo,Melissa,Castillo,281.1608076,true
Maria Williams,Maria,Williams,10.21292614,false
Vanessa Thomas,Vanessa,Thomas,20.58084145,false
Gary Obrien,Gary,Obrien,53.39582051,false
Melissa Holt,Melissa,Holt,252.2818438,true
Eric Valenzuela,Eric,Valenzuela,176.52775,true
Anthony Hardy,Anthony,Hardy,4.902725495,false
Mrs. Karen Johnson,Karen,Johnson,49.41029242,false
Richard Hunt,Richard,Hunt,249.7511997,true
Karen Robertson,Karen,Robertson,1.710967532,false
Adam Jones,Adam,Jones,56.93252133,false
Jonathan Fuller,Jonathan,Fuller,14.71921636,false
